"{{896514, 617548, 198242}, {935543, 557724, 219037}}","{{949468, 549184, 213652}, {940850, 555440, 216014}, {941715, 553905, 216684}}","{{845786, 653719, 212799}, {857237, 639347, 215720}, {867338, 628811, 216155}}","{{898740, 585355, 228209}, {905565, 576174, 230565}, {905446, 576293, 230565}, {893854, 587368, 231082}, {900560, 578306, 233438}, {905449, 575656, 231199}, {912274, 566475, 233555}}"
"{{876464, 637694, 198146}, {912938, 580449, 218917}}","{{927815, 571269, 213220}, {919455, 576946, 215903}, {919241, 576811, 216252}}","{{825060, 674541, 212703}, {835306, 661389, 215609}, {845518, 650742, 216044}}","{{876411, 608116, 227777}, {882864, 598992, 230448}, {882747, 599109, 230448}, {871205, 610449, 230650}, {877541, 601442, 233321}, {882749, 598788, 230767}, {889202, 589664, 233438}}"
"{{839665, 476381, 396258}}","{{889585, 405940, 416779}, {879862, 408267, 424175}}","{{795726, 500094, 416484}, {813580, 474549, 424175}}","{{845646, 429653, 437005}, {850756, 417687, 443861}, {839100, 429343, 443861}, {844210, 417377, 450717}, {850723, 417798, 443783}}"
{},"{{561102, 1116366, 34836}, {552956, 1123215, 36133}}",{},"{{499214, 1177430, 35660}, {489695, 1185811, 36798}, {502084, 1173305, 36915}, {492565, 1181686, 38053}}"
"{{569009, 421404, 721891}}","{{599010, 344489, 768805}, {583217, 348547, 780540}}","{{500219, 444399, 767686}, {509237, 422527, 780540}}","{{530220, 367484, 814600}, {531686, 355249, 825369}, {532605, 354489, 825210}, {519586, 366993, 825725}, {521971, 353998, 836335}}"
"{{541883, 428641, 741780}}","{{568785, 353622, 789897}, {553502, 356508, 802294}}","{{472166, 450804, 789334}, {479522, 430488, 802294}}","{{499068, 375785, 837451}, {500120, 363365, 848819}, {500932, 362625, 848747}, {488010, 375370, 848924}, {489874, 362210, 860220}}"
"{{122509, 122509, 1467286}}","{{122509, 36924, 1552871}}",{},"{{36924, 36924, 1638456}, {30940, 18603, 1662761}, {12619, 12619, 1687066}}"
{},"{{866571, 792953, 52780}, {861862, 797030, 53412}}",{},"{{815664, 842143, 54497}, {823077, 834104, 55123}, {823044, 834137, 55123}, {830457, 826098, 55749}}"
"{{960239, 566165, 185900}, {1006494, 500763, 205047}}","{{1016764, 495219, 200321}, {1009848, 499928, 202528}, {1010898, 498557, 202849}}","{{912162, 600921, 199221}, {934583, 575847, 201874}, {935558, 574578, 202168}}","{{968687, 529975, 213642}, {976795, 519666, 215843}, {976692, 519769, 215843}, {976789, 519357, 216158}, {984794, 509151, 218359}, {976693, 519453, 216158}, {984801, 509144, 218359}}"
{},"{{850259, 818894, 43151}, {845989, 822213, 44102}}",{},"{{798178, 869825, 44301}, {805482, 861582, 45240}, {805448, 861616, 45240}, {812752, 853373, 46179}}"
"{{964136, 560643, 187525}, {1010948, 494370, 206986}}","{{1020309, 489971, 202024}, {1013431, 494628, 204245}, {1015452, 492078, 204774}}","{{916794, 594508, 201002}, {939038, 569450, 203816}, {940054, 568140, 204110}}","{{972967, 523836, 215501}, {981164, 513424, 217716}, {981061, 513527, 217716}, {981160, 512911, 218233}, {989254, 502602, 220448}, {981064, 513007, 218233}, {989261, 502595, 220448}}"
"{{946839, 578051, 187414}, {991433, 514005, 206866}}","{{1001521, 509191, 201592}, {994963, 513207, 204134}, {995997, 511965, 204342}}","{{898927, 612486, 200891}, {920129, 588470, 203705}, {921161, 587144, 203999}}","{{953609, 543626, 215069}, {961505, 533200, 217599}, {961401, 533304, 217599}, {961507, 532996, 217801}, {969299, 522674, 220331}, {961403, 533100, 217801}, {969299, 522674, 220331}}"
{},"{{834510, 842831, 34963}, {830693, 845491, 36120}}",{},"{{781268, 895409, 35627}, {788477, 887061, 36766}, {788443, 887095, 36766}, {795652, 878747, 37905}}"
